r1,r2,t,sub,rs,condition
0.00534759358288778,0.994652406417112,15,23,0.989304812834225,reward
0.00200534759358296,0.994652406417112,16,23,0.992647058823529,transition
0.00200534759358295,0.994652406417112,17,23,0.992647058823529,reward
0.00534759358288772,0.994652406417112,18,23,0.989304812834225,transition
0.00534759358288772,0.997994652406417,19,23,0.992647058823529,reward
0.00200534759358296,0.991310160427807,20,23,0.989304812834224,reward
0.00200534759358296,0.997994652406417,1,24,0.995989304812834,reward
0.00868983957219259,0.00534759358288772,2,24,-0.00334224598930487,control
0.00534759358288778,0.994652406417112,3,24,0.989304812834225,reward
0.00200534759358296,0.496657754010695,4,24,0.494652406417112,transition
0.00200534759358295,0.997994652406417,5,24,0.995989304812834,transition
0.00534759358288778,0.994652406417112,6,24,0.989304812834225,reward
0.00200534759358296,0.00200534759358296,7,24,0.0,control
0.00200534759358296,0.00534759358288778,8,24,0.00334224598930481,control
0.00200534759358296,0.50668449197861,9,24,0.504679144385027,transition
0.0120320855614974,0.997994652406417,10,24,0.98596256684492,reward
0.00534759358288772,0.0354278074866311,11,24,0.0300802139037434,control
0.00200534759358295,0.503342245989305,12,24,0.501336898395722,transition
0.00534759358288772,0.50668449197861,13,24,0.501336898395722,transition
0.00200534759358295,0.286096256684492,14,24,0.284090909090909,transition
0.00200534759358296,0.987967914438503,15,24,0.98596256684492,reward
0.483288770053476,0.987967914438503,16,24,0.504679144385027,reward
0.00868983957219259,0.987967914438503,17,24,0.97927807486631,reward
0.927807486631016,0.0387700534759359,18,24,-0.88903743315508,reward
0.0086898395721926,0.516711229946524,19,24,0.508021390374331,transition
0.00534759358288778,0.5,20,24,0.494652406417112,transition
0.0086898395721926,0.00200534759358296,1,25,-0.00668449197860964,reward
0.0120320855614974,0.0153743315508023,2,25,0.00334224598930488,transition
0.018716577540107,0.018716577540107,3,25,0.0,control
0.00534759358288778,0.0086898395721926,4,25,0.00334224598930483,reward
0.0086898395721926,0.0153743315508023,5,25,0.00668449197860965,transition
0.00534759358288778,0.0153743315508022,6,25,0.0100267379679144,reward
0.0120320855614974,0.00534759358288772,7,25,-0.00668449197860965,control
0.0120320855614974,0.00534759358288772,8,25,-0.00668449197860965,transition
0.00868983957219259,0.0153743315508023,9,25,0.00668449197860967,transition
0.00200534759358296,0.0086898395721926,10,25,0.00668449197860964,transition
0.0120320855614974,0.0120320855614974,11,25,0.0,transition
0.00200534759358296,0.00534759358288778,12,25,0.00334224598930481,reward
0.00534759358288772,0.0153743315508023,13,25,0.0100267379679145,control
0.00868983957219259,0.0120320855614974,14,25,0.00334224598930479,transition
0.0120320855614974,0.0120320855614974,15,25,2.60208521396521e-17,reward
0.0153743315508023,0.0120320855614974,16,25,-0.00334224598930488,reward
0.00868983957219259,0.0086898395721926,17,25,1.56125112837913e-17,reward
0.00534759358288778,0.00534759358288772,18,25,-5.3776427755281e-17,transition
0.0120320855614974,0.0086898395721926,19,25,-0.0033422459893048,control
0.00534759358288778,0.00534759358288778,20,25,0.0,reward
0.00534759358288778,0.0120320855614974,1,26,0.00668449197860962,reward
0.00200534759358296,0.00868983957219259,2,26,0.00668449197860962,reward
0.00200534759358295,0.0153743315508022,3,26,0.0133689839572193,transition
0.0153743315508022,0.957887700534759,4,26,0.942513368983957,transition
0.0220588235294118,0.0421122994652408,5,26,0.020053475935829,transition
0.0320855614973262,0.0120320855614974,6,26,-0.0200534759358288,transition
0.0254010695187167,0.0421122994652407,7,26,0.016711229946524,transition
0.921122994652406,0.991310160427807,8,26,0.0701871657754011,reward
0.974598930481283,0.0487967914438503,9,26,-0.925802139037433,control
0.0254010695187167,0.0354278074866311,10,26,0.0100267379679144,reward
0.0387700534759359,0.0220588235294118,11,26,-0.0167112299465241,control
0.0254010695187167,0.0220588235294118,12,26,-0.00334224598930485,reward
0.00534759358288778,0.0220588235294118,13,26,0.0167112299465241,transition
0.0354278074866311,0.967914438502674,14,26,0.932486631016043,reward
0.0621657754010696,0.0655080213903744,15,26,0.00334224598930477,control
0.0688502673796793,0.0220588235294118,16,26,-0.0467914438502674,control
0.0487967914438503,0.0120320855614974,17,26,-0.0367647058823529,reward
0.0086898395721926,0.0788770053475937,18,26,0.0701871657754011,reward
0.0254010695187167,0.0086898395721926,19,26,-0.0167112299465241,transition
0.072192513368984,0.0254010695187167,20,26,-0.0467914438502674,transition
0.0254010695187167,0.994652406417112,1,27,0.969251336898396,transition
0.00200534759358296,0.00200534759358295,2,27,-1.21430643318376e-17,control
0.00200534759358296,0.997994652406417,3,27,0.995989304812834,reward
0.00200534759358296,0.997994652406417,4,27,0.995989304812834,transition
0.00534759358288772,0.994652406417112,5,27,0.989304812834225,reward
0.0120320855614974,0.00868983957219259,6,27,-0.00334224598930481,control
0.00868983957219259,0.997994652406417,7,27,0.989304812834224,reward
0.00200534759358296,0.00534759358288778,8,27,0.00334224598930481,control
0.00534759358288772,0.994652406417112,9,27,0.989304812834225,transition
0.00534759358288778,0.991310160427807,10,27,0.98596256684492,reward
0.00534759358288778,0.991310160427807,11,27,0.98596256684492,transition
0.00200534759358296,0.997994652406417,12,27,0.995989304812834,transition
0.0086898395721926,0.991310160427807,13,27,0.982620320855615,transition
0.00534759358288778,0.994652406417112,14,27,0.989304812834225,reward
0.00868983957219259,0.00534759358288778,15,27,-0.00334224598930481,control
0.0086898395721926,0.991310160427807,16,27,0.982620320855615,transition
0.0153743315508023,0.994652406417112,17,27,0.97927807486631,reward
0.00534759358288778,0.994652406417112,18,27,0.989304812834225,reward
0.00534759358288772,0.997994652406417,19,27,0.992647058823529,transition
0.00534759358288772,0.987967914438503,20,27,0.982620320855615,reward
0.00868983957219259,0.720588235294118,1,28,0.711898395721925,reward
0.0120320855614974,0.00534759358288772,2,28,-0.00668449197860968,transition
0.00868983957219259,0.00868983957219259,3,28,0.0,transition
0.0120320855614974,0.0153743315508022,4,28,0.00334224598930484,transition
0.00200534759358295,0.459893048128342,5,28,0.457887700534759,transition
0.0086898395721926,0.489973262032086,6,28,0.481283422459893,transition
0.00868983957219259,0.00534759358288778,7,28,-0.00334224598930481,control
0.00200534759358296,0.469919786096257,8,28,0.467914438502674,reward
0.00534759358288778,0.00200534759358295,9,28,-0.00334224598930482,control
0.00200534759358296,0.476604278074866,10,28,0.474598930481283,reward
0.00868983957219259,0.239304812834225,11,28,0.230614973262032,transition
0.00200534759358296,0.49331550802139,12,28,0.491310160427807,reward
0.0120320855614974,0.459893048128342,13,28,0.447860962566845,transition
0.00534759358288778,0.459893048128342,14,28,0.454545454545454,transition
0.00868983957219259,0.466577540106952,15,28,0.457887700534759,reward
0.00200534759358295,0.00534759358288778,16,28,0.00334224598930482,control
0.00868983957219259,0.486631016042781,17,28,0.477941176470588,reward
0.018716577540107,0.603609625668449,18,28,0.584893048128342,reward
0.00534759358288778,0.00200534759358295,19,28,-0.00334224598930482,control
0.00200534759358295,0.40975935828877,20,28,0.407754010695187,reward
0.00534759358288772,0.00200534759358295,1,29,-0.00334224598930477,transition
0.00534759358288778,0.00200534759358296,2,29,-0.00334224598930481,transition
0.018716577540107,0.0120320855614974,3,29,-0.00668449197860963,reward
0.00534759358288778,0.00200534759358295,4,29,-0.00334224598930482,reward
0.0120320855614974,0.00200534759358296,5,29,-0.0100267379679144,reward
0.00868983957219259,0.00200534759358295,6,29,-0.00668449197860964,transition
0.00534759358288778,0.00534759358288772,7,29,-5.3776427755281e-17,reward
0.00200534759358295,0.00534759358288772,8,29,0.00334224598930477,reward
0.00200534759358296,0.00534759358288778,9,29,0.00334224598930481,transition
0.00868983957219259,0.00534759358288772,10,29,-0.00334224598930487,transition
0.984625668449198,0.00200534759358296,11,29,-0.982620320855615,control
0.00534759358288778,0.0153743315508022,12,29,0.0100267379679144,control
0.00200534759358295,0.00534759358288778,13,29,0.00334224598930482,reward
0.00200534759358295,0.0220588235294118,14,29,0.0200534759358288,reward
0.00534759358288772,0.0120320855614974,15,29,0.00668449197860968,transition
0.0153743315508022,0.0521390374331552,16,29,0.036764705882353,transition
0.0254010695187167,0.0220588235294118,17,29,-0.00334224598930485,transition
0.0153743315508023,0.00534759358288778,18,29,-0.0100267379679145,control
0.0421122994652407,0.00868983957219259,19,29,-0.0334224598930481,control
0.00534759358288778,0.00868983957219259,20,29,0.00334224598930481,reward
0.00200534759358296,0.239304812834225,1,30,0.237299465240642,transition
0.232620320855615,0.215909090909091,2,30,-0.0167112299465241,reward
0.5,0.5,3,30,0.0,transition
0.513368983957219,0.0120320855614974,4,30,-0.501336898395722,transition
0.911096256684492,0.947860962566845,5,30,0.0367647058823529,control
0.202540106951872,0.222593582887701,6,30,0.0200534759358288,transition
0.496657754010695,0.760695187165775,7,30,0.26403743315508,transition
